epoch,accuracy,loss
0,0.9755661487579346,0.02573448419570923
1,0.9755661487579346,0.023342201486229897
2,0.9752681851387024,0.021988896653056145
3,0.9755661487579346,0.021008262410759926
4,0.9764600992202759,0.018439888954162598
5,0.9779499173164368,0.016082854941487312
6,0.9821215867996216,0.012347276322543621
7,0.9880810379981995,0.00982685200870037
8,0.9919546842575073,0.0064348578453063965
9,0.9961263537406921,0.004870139993727207
10,0.9985101222991943,0.003203416708856821
11,0.9991060495376587,0.002269183751195669
12,1.0,0.001447663176804781
13,1.0,0.000999660580419004
14,1.0,0.0007183359120972455
15,1.0,0.0005726144881919026
16,1.0,0.00030280451755970716
17,1.0,0.0001817047013901174
18,1.0,0.00022185430862009525
19,1.0,9.30030582821928e-05
20,1.0,0.0001068307610694319
21,1.0,6.870824290672317e-05
22,1.0,2.6170788260060363e-05
23,1.0,2.324335218872875e-05
24,1.0,1.4748097783012781e-05
25,1.0,1.1053574780817144e-05
26,1.0,1.3784873772237916e-05
27,1.0,2.0202785435685655e-06
28,1.0,2.402505288046086e-06
29,1.0,1.2406645737428335e-06
30,1.0,2.488942072886857e-06
31,1.0,1.3910333791500307e-06
32,1.0,7.459591984115832e-07
33,1.0,2.6648689299690886e-07
34,1.0,1.0407411821233836e-07
35,1.0,5.210569042901625e-08
36,1.0,3.4028850848244474e-08
37,1.0,5.546444015180896e-08
38,1.0,1.694290957532374e-10
39,1.0,0.0
