epoch,accuracy,loss
0,0.9737783074378967,0.028584210202097893
1,0.9740762710571289,0.024281781166791916
2,0.9737783074378967,0.023501770570874214
3,0.9740762710571289,0.02253962680697441
4,0.974672257900238,0.02088954672217369
5,0.9752681851387024,0.01885586977005005
6,0.9785459041595459,0.01613660156726837
7,0.9806317090988159,0.013321845792233944
8,0.9862931966781616,0.010380269028246403
9,0.9907628297805786,0.007121169473975897
10,0.9961263537406921,0.005123727954924107
11,0.9982121586799622,0.0036588937509804964
12,0.9994040727615356,0.0023398755583912134
13,0.9997020363807678,0.0017267803195863962
14,1.0,0.0012604428920894861
15,1.0,0.0008414317271672189
16,1.0,0.0007108398713171482
17,1.0,0.00042816365021280944
18,1.0,0.00029923502006568015
19,1.0,0.00028159559587948024
20,1.0,0.00017702231707517058
21,1.0,0.00012502683966886252
22,1.0,9.020839934237301e-05
23,1.0,9.54383795033209e-05
24,1.0,4.2861560359597206e-05
25,1.0,4.5988912461325526e-05
26,1.0,1.9115901523036882e-05
27,1.0,1.7192878658534028e-05
28,1.0,1.4351836398418527e-05
29,1.0,6.917239716131007e-06
30,1.0,4.430459284776589e-06
31,1.0,3.518196081131464e-06
32,1.0,2.505621296222671e-06
33,1.0,1.865583044491359e-06
34,1.0,1.3999766679262393e-06
35,1.0,9.602490536053665e-07
36,1.0,6.585573260053934e-07
37,1.0,2.5936165570783487e-07
38,1.0,1.1439198033258435e-07
39,1.0,4.393699271076912e-08
